name,developer,release_date,parameters,training_flop,training_flop_confidence,estimation_method,status,reasoning,sources,benchmarks
chatgpt-4o-latest-20250326,OpenAI,,,1.3728e+26,medium,scaling_laws,likely_above_1e25,"Known model specification: Chinchilla scaling law: 6 × 1,760,000,000,000 params × 13,000,000,000,000 tokens = 1.37e+26 FLOP",LMArena Manual Data Collection (CSV file with manually collected leaderboard data),"{""lmarena_score"": 1443.0}"
gpt-4.5-preview-2025-02-27,OpenAI,,,1.3728e+26,medium,scaling_laws,likely_above_1e25,"Known model specification: Chinchilla scaling law: 6 × 1,760,000,000,000 params × 13,000,000,000,000 tokens = 1.37e+26 FLOP",LMArena Manual Data Collection (CSV file with manually collected leaderboard data),"{""lmarena_score"": 1440.0}"
gpt-4.1-2025-04-14,OpenAI,,,1.3728e+26,medium,scaling_laws,likely_above_1e25,"Known model specification: Chinchilla scaling law: 6 × 1,760,000,000,000 params × 13,000,000,000,000 tokens = 1.37e+26 FLOP",LMArena Manual Data Collection (CSV file with manually collected leaderboard data),"{""lmarena_score"": 1407.0}"
gpt-4.1-mini-2025-04-14,OpenAI,,,1.3728e+26,medium,scaling_laws,likely_above_1e25,"Known model specification: Chinchilla scaling law: 6 × 1,760,000,000,000 params × 13,000,000,000,000 tokens = 1.37e+26 FLOP",LMArena Manual Data Collection (CSV file with manually collected leaderboard data),"{""lmarena_score"": 1374.0}"
gpt-4o-2024-05-13,OpenAI,,,1.3728e+26,medium,scaling_laws,likely_above_1e25,"Known model specification: Chinchilla scaling law: 6 × 1,760,000,000,000 params × 13,000,000,000,000 tokens = 1.37e+26 FLOP",LMArena Manual Data Collection (CSV file with manually collected leaderboard data),"{""lmarena_score"": 1344.0}"
gpt-4o-2024-08-06,OpenAI,,,1.3728e+26,medium,scaling_laws,likely_above_1e25,"Known model specification: Chinchilla scaling law: 6 × 1,760,000,000,000 params × 13,000,000,000,000 tokens = 1.37e+26 FLOP",LMArena Manual Data Collection (CSV file with manually collected leaderboard data),"{""lmarena_score"": 1334.0}"
gpt-4.1-nano-2025-04-14,OpenAI,,,1.3728e+26,medium,scaling_laws,likely_above_1e25,"Known model specification: Chinchilla scaling law: 6 × 1,760,000,000,000 params × 13,000,000,000,000 tokens = 1.37e+26 FLOP",LMArena Manual Data Collection (CSV file with manually collected leaderboard data),"{""lmarena_score"": 1321.0}"
gpt-4-turbo-2024-04-09,OpenAI,,,1.3728e+26,medium,scaling_laws,likely_above_1e25,"Known model specification: Chinchilla scaling law: 6 × 1,760,000,000,000 params × 13,000,000,000,000 tokens = 1.37e+26 FLOP",LMArena Manual Data Collection (CSV file with manually collected leaderboard data),"{""lmarena_score"": 1324.0}"
gpt-4o-mini-2024-07-18,OpenAI,,,1.3728e+26,medium,scaling_laws,likely_above_1e25,"Known model specification: Chinchilla scaling law: 6 × 1,760,000,000,000 params × 13,000,000,000,000 tokens = 1.37e+26 FLOP",LMArena Manual Data Collection (CSV file with manually collected leaderboard data),"{""lmarena_score"": 1317.0}"
gpt-4-0125-preview,OpenAI,,,1.3728e+26,medium,scaling_laws,likely_above_1e25,"Known model specification: Chinchilla scaling law: 6 × 1,760,000,000,000 params × 13,000,000,000,000 tokens = 1.37e+26 FLOP",LMArena Manual Data Collection (CSV file with manually collected leaderboard data),"{""lmarena_score"": 1315.0}"
